,title,artist
270,Born in the U.S.A.,Bruce Springsteen
271,Somebody to Love,Jefferson Airplane
272,Something,The Beatles
273,Sweet Little Sixteen,Chuck Berry
274,Sloop John B,The Beach Boys
275,He Stopped Loving Her Today,George Jones
276,Roadrunner,The Modern Lovers
277,Jesus Walks,Kanye West
278,Sunday Bloody Sunday,U2
279,Personality Crisis,New York Dolls
280,Tighten Up,Archie Bell and The Drells
281,Walking in the Rain,The Ronettes
282,Sail Away,Randy Newman
283,Hes A Rebel,The Crystals
284,Ooo Baby Baby,Smokey Robinson and The Miracles
285,Higher Ground,Stevie Wonder
286,Hallelujah,Jeff Buckley
287,Oh,The Dells
288,I Can See For Miles,The Who
289,Wild Thing,The Troggs
290,Mississippi,Bob Dylan
291,Heart of Glass,Blondie
292,Highway to Hell,AC/DC
293,Paranoid Android,Radiohead
294,All the Young Dudes,Mott the Hoople
295,Mack the Knife,Bobby Darin
296,Money Honey,The Drifters
297,Paranoid,Black Sabbath
298,Chain of Fools,Aretha Franklin
299,Rappers Delight,Sugarhill Gang
300,The Harder They Come,Jimmy Cliff
301,Baba ORiley,The Who
302,You Keep Me Hanging On,The Supremes
303,Maybe Im Amazed,Paul McCartney
304,Walk This Way,Aerosmith
305,Beautiful Day,U2
306,Beat It,Michael Jackson
307,Wild Horses,The Rolling Stones
308,Sweet Jane,The Velvet Underground
309,Spirit in the Sky,Norman Greenbaum
310,Subterranean Homesick Blues,Bob Dylan
311,I Cant Make You Love Me,Bonnie Raitt
312,We Will Rock You,Queen
313,Wind and Fire,Earth
314,The End,The Doors
315,For Your Precious Love,Jerry Butler and The Impressions
316,Get Up (I Feel Like Being a) Sex Machine,James Brown
317,Good Lovin,The Young Rascals
318,Baby Love,The Supremes
319,Dancing Barefoot,Patti Smith Group
320,Fight the Power,Public Enemy
321,Cortez the Killer,Neil Young
322,Heartbreaker,Led Zeppelin
323,Take Me Out,Franz Ferdinand
324,Schools Out,Alice Cooper
325,Many Rivers to Cross,Jimmy Cliff
326,Wish You Were Here,Pink Floyd
327,Alison,Elvis Costello
328,Dont Let Me Be Misunderstood,The Animals
329,Comfortably Numb,Pink Floyd
330,I Put a Spell on You,Screamin' Jay Hawkins
331,In Dreams,Roy Orbison
332,Wake Up Little Susie,The Everly Brothers
333,Iron Man,Black Sabbath
334,Whats Love Got to Do With It,Tina Turner
335,Lonely Teardrops,Jackie Wilson
336,Why Do Fools Fall In Love,Frankie Lymon and The Teenagers
337,Thats Entertainment,The Jam
338,Say It Loud - Im Black and Im Proud,James Brown
339,With a Little Help From My Friends,The Beatles
340,Ruby Tuesday,The Rolling Stones
341,Blue Eyes Crying in the Rain,Willie Nelson
342,Da Ya Think Im Sexy?,Rod Stewart
343,One More Time,Daft Punk
344,Like A Prayer,Madonna
345,One Way or Another,Blondie
346,Sign O The Times,Prince
347,Heart of Gold,Neil Young
348,Get Up,Bob Marley and the Wailers
349,Street Fighting Man,The Rolling Stones
350,Baby I Need Your Loving,The Four Tops
351,Just My Imagination,The Temptations
352,Roxanne,The Police
353,Tiny Dancer,Elton John
354,Know You Got Soul,Eric B. and Rakim
355,Stills,Crosby
356,Ticket to Ride,The Beatles
357,Whipping Post,The Allman Brothers Band
358,Bitter Sweet Symphony,The Verve
359,Tell It Like It Is,Aaron Neville
360,Goodbye Yellow Brick Road,Elton John
361,Radio Free Europe,R.E.M.
362,Pride (In the Name of Love),U2
363,Hit the Road Jack,Ray Charles
364,Maps,Yeah Yeah Yeahs
365,Fake Plastic Trees,Radiohead
366,Another Brick in the Wall Part 2,Pink Floyd
